"2","3.2.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"4","host","3.2.1","ESC ENQ"
"6","3.2.2","host","'0' ETX"
"7","host","3.2.1","'FG' ETX"
"10","3.2.2","host","'CAMEO 3 V1.50    ' ETX"
"11","host","3.2.1","ESC ENQ"
"14","3.2.2","host","'0' ETX"
"15","host","3.2.1","'FG' ETX"
"18","3.2.2","host","'CAMEO 3 V1.50    ' ETX"
"19","host","3.2.1","ESC ENQ"
"22","3.2.2","host","'0' ETX"
"23","host","3.2.1","ESC ENQ"
"26","3.2.2","host","'0' ETX"
"27","host","3.2.1","'[' ETX"
"30","3.2.2","host","'     0,     0' ETX"
"31","host","3.2.1","'U' ETX"
"34","3.2.2","host","' 12200,  6100' ETX"
"35","host","3.2.1","'FQ0' ETX"
"38","3.2.2","host","'    5' ETX"
"39","host","3.2.1","'FQ2' ETX"
"42","3.2.2","host","'   18' ETX"
"43","host","3.2.1","'TB71' ETX"
"46","3.2.2","host","'    0,    0' ETX"
"47","host","3.2.1","'FA' ETX"
"50","3.2.2","host","'    0,    0' ETX"
"51","host","3.2.1","ESC ENQ"
"54","3.2.2","host","'0' ETX"
"55","host","3.2.1","ESC ENQ"
"58","3.2.2","host","'0' ETX"
"60","host","3.2.1","ESC ENQ"
"62","3.2.2","host","'0' ETX"
"64","host","3.2.1","ESC ENQ"
"66","3.2.2","host","'0' ETX"
"68","host","3.2.1","ESC ENQ"
"70","3.2.2","host","'0' ETX"
"72","host","3.2.1","ESC ENQ"
"74","3.2.2","host","'0' ETX"
"76","host","3.2.1","ESC ENQ"
"78","3.2.2","host","'0' ETX"
"80","host","3.2.1","ESC ENQ"
"82","3.2.2","host","'0' ETX"
"84","host","3.2.1","ESC ENQ"
"86","3.2.2","host","'0' ETX"
"88","host","3.2.1","ESC ENQ"
"90","3.2.2","host","'0' ETX"
"92","host","3.2.1","ESC ENQ"
"94","3.2.2","host","'0' ETX"
"96","host","3.2.1","ESC ENQ"
"98","3.2.2","host","'0' ETX"
"100","host","3.2.1","ESC ENQ"
"102","3.2.2","host","'0' ETX"
"104","host","3.2.1","ESC ENQ"
"106","3.2.2","host","'0' ETX"
"108","host","3.2.1","ESC ENQ"
"110","3.2.2","host","'0' ETX"
"112","host","3.2.1","ESC ENQ"
"114","3.2.2","host","'0' ETX"
"116","host","3.2.1","ESC ENQ"
"118","3.2.2","host","'0' ETX"
"120","host","3.2.1","ESC ENQ"
"122","3.2.2","host","'0' ETX"
"123","host","3.2.1","ESC ENQ"
"126","3.2.2","host","'0' ETX"
"128","host","3.2.1","ESC ENQ"
"130","3.2.2","host","'0' ETX"
"132","host","3.2.1","ESC ENQ"
"134","3.2.2","host","'0' ETX"
"136","host","3.2.1","ESC ENQ"
"138","3.2.2","host","'0' ETX"
"140","host","3.2.1","ESC ENQ"
"142","3.2.2","host","'0' ETX"
"144","host","3.2.1","ESC ENQ"
"146","3.2.2","host","'0' ETX"
"148","host","3.2.1","ESC ENQ"
"150","3.2.2","host","'0' ETX"
"152","host","3.2.1","ESC ENQ"
"154","3.2.2","host","'0' ETX"
"156","host","3.2.1","ESC ENQ"
"158","3.2.2","host","'0' ETX"
"159","host","3.2.1","ESC ENQ"
"162","3.2.2","host","'0' ETX"
"164","host","3.2.1","ESC ENQ"
"166","3.2.2","host","'0' ETX"
"168","host","3.2.1","ESC ENQ"
"170","3.2.2","host","'0' ETX"
"172","host","3.2.1","ESC ENQ"
"174","3.2.2","host","'0' ETX"
"176","host","3.2.1","ESC ENQ"
"178","3.2.2","host","'0' ETX"
"180","host","3.2.1","ESC ENQ"
"182","3.2.2","host","'0' ETX"
"184","host","3.2.1","ESC ENQ"
"186","3.2.2","host","'0' ETX"
"188","host","3.2.1","ESC ENQ"
"190","3.2.2","host","'0' ETX"
"192","host","3.2.1","ESC ENQ"
"194","3.2.2","host","'0' ETX"
"196","host","3.2.1","ESC ENQ"
"198","3.2.2","host","'0' ETX"
"200","host","3.2.1","ESC ENQ"
"202","3.2.2","host","'0' ETX"
"204","host","3.2.1","ESC ENQ"
"206","3.2.2","host","'0' ETX"
"208","host","3.2.1","ESC ENQ"
"210","3.2.2","host","'0' ETX"
