"1","3.2.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"2","host","3.2.1","ESC ENQ"
"3","3.2.2","host","'0' ETX"
"4","host","3.2.1","'FG' ETX"
"5","3.2.2","host","'CAMEO 3 V1.50    ' ETX"
"6","host","3.2.1","ESC ENQ"
"7","3.2.2","host","'0' ETX"
"8","host","3.2.1","'FG' ETX"
"9","3.2.2","host","'CAMEO 3 V1.50    ' ETX"
"10","host","3.2.1","ESC ENQ"
"11","3.2.2","host","'0' ETX"
"12","host","3.2.1","ESC ENQ"
"13","3.2.2","host","'0' ETX"
"14","host","3.2.1","'[' ETX"
"15","3.2.2","host","'     0,     0' ETX"
"16","host","3.2.1","'U' ETX"
"17","3.2.2","host","' 12200,  6100' ETX"
"18","host","3.2.1","'FQ0' ETX"
"19","3.2.2","host","'    5' ETX"
"20","host","3.2.1","'FQ2' ETX"
"21","3.2.2","host","'   18' ETX"
"22","host","3.2.1","'TB71' ETX"
"23","3.2.2","host","'    0,    0' ETX"
"24","host","3.2.1","'FA' ETX"
"25","3.2.2","host","'    0,    0' ETX"
"26","host","3.2.1","ESC ENQ"
"27","3.2.2","host","'0' ETX"
"28","host","3.2.1","ESC ENQ"
"29","3.2.2","host","'0' ETX"
"30","host","3.2.1","ESC ENQ"
"31","3.2.2","host","'0' ETX"
"32","host","3.2.1","ESC ENQ"
"33","3.2.2","host","'0' ETX"
"34","host","3.2.1","ESC ENQ"
"35","3.2.2","host","'0' ETX"
"36","host","3.2.1","ESC ENQ"
"37","3.2.2","host","'0' ETX"
"38","host","3.2.1","ESC ENQ"
"39","3.2.2","host","'0' ETX"
"40","host","3.2.1","ESC ENQ"
"41","3.2.2","host","'0' ETX"
"42","host","3.2.1","ESC ENQ"
"43","3.2.2","host","'0' ETX"
"44","host","3.2.1","ESC ENQ"
"45","3.2.2","host","'0' ETX"
"46","host","3.2.1","ESC ENQ"
"47","3.2.2","host","'0' ETX"
"48","host","3.2.1","ESC ENQ"
"49","3.2.2","host","'0' ETX"
"50","host","3.2.1","ESC ENQ"
"51","3.2.2","host","'0' ETX"
"52","host","3.2.1","ESC ENQ"
"53","3.2.2","host","'0' ETX"
"54","host","3.2.1","ESC ENQ"
"55","3.2.2","host","'0' ETX"
"56","host","3.2.1","ESC ENQ"
"57","3.2.2","host","'0' ETX"
"58","host","3.2.1","ESC ENQ"
"59","3.2.2","host","'0' ETX"
"60","host","3.2.1","ESC ENQ"
"61","3.2.2","host","'0' ETX"
"62","host","3.2.1","ESC ENQ"
"63","3.2.2","host","'0' ETX"
"64","host","3.2.1","ESC ENQ"
"65","3.2.2","host","'0' ETX"
"66","host","3.2.1","ESC ENQ"
"67","3.2.2","host","'0' ETX"
"68","host","3.2.1","ESC ENQ"
"69","3.2.2","host","'0' ETX"
"70","host","3.2.1","ESC ENQ"
"71","3.2.2","host","'0' ETX"
"72","host","3.2.1","ESC ENQ"
"73","3.2.2","host","'0' ETX"
"74","host","3.2.1","ESC ENQ"
"75","3.2.2","host","'0' ETX"
"76","host","3.2.1","ESC ENQ"
"77","3.2.2","host","'0' ETX"
"78","host","3.2.1","ESC ENQ"
"79","3.2.2","host","'0' ETX"
"80","host","3.2.1","ESC ENQ"
"81","3.2.2","host","'0' ETX"
"82","host","3.2.1","ESC ENQ"
"83","3.2.2","host","'0' ETX"
"84","host","3.2.1","ESC ENQ"
"85","3.2.2","host","'0' ETX"
"86","host","3.2.1","ESC ENQ"
"87","3.2.2","host","'0' ETX"
"88","host","3.2.1","ESC ENQ"
"89","3.2.2","host","'0' ETX"
"90","host","3.2.1","ESC ENQ"
"91","3.2.2","host","'0' ETX"
"92","host","3.2.1","ESC ENQ"
"93","3.2.2","host","'0' ETX"
"94","host","3.2.1","ESC ENQ"
"95","3.2.2","host","'0' ETX"
"96","host","3.2.1","ESC ENQ"
"97","3.2.2","host","'0' ETX"
"98","host","3.2.1","ESC ENQ"
"99","3.2.2","host","'0' ETX"
"100","host","3.2.1","ESC ENQ"
