"2","3.3.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"4","host","3.3.1","ESC ENQ"
"6","3.3.2","host","'0' ETX"
"8","host","3.3.1","ESC ENQ"
"10","3.3.2","host","'0' ETX"
"12","host","3.3.1","ESC ENQ"
"14","3.3.2","host","'0' ETX"
"16","host","3.3.1","ESC ENQ"
"18","3.3.2","host","'0' ETX"
"20","host","3.3.1","ESC ENQ"
"22","3.3.2","host","'0' ETX"
"24","host","3.3.1","ESC ENQ"
"26","3.3.2","host","'0' ETX"
"28","host","3.3.1","ESC ENQ"
"30","3.3.2","host","'0' ETX"
"32","host","3.3.1","ESC ENQ"
"34","3.3.2","host","'0' ETX"
"36","host","3.3.1","ESC ENQ"
"38","3.3.2","host","'0' ETX"
"40","host","3.3.1","ESC ENQ"
"42","3.3.2","host","'0' ETX"
"44","host","3.3.1","ESC ENQ"
"46","3.3.2","host","'0' ETX"
"48","host","3.3.1","ESC ENQ"
"50","3.3.2","host","'0' ETX"
"52","host","3.3.1","ESC ENQ"
"54","3.3.2","host","'0' ETX"
"56","host","3.3.1","'TG1' ETX"
,,,"'FN0' ETX"
,,,"'TB50,0' ETX"
,,,"'\30,30' ETX"
,,,"'Z5558,4288' ETX"
,,,"'J1' ETX"
"58","host","3.3.1","ESC ENQ"
"60","3.3.2","host","'1' ETX"
"61","host","3.3.1","'FX33,1' ETX"
,,,"'!5,1' ETX"
,,,"'FC0,1,1' ETX"
,,,"'FE0,1' ETX"
"64","host","3.3.1","'FF1,0,1' ETX"
,,,"'FF1,1,1' ETX"
,,,"'FC18,1,1' ETX"
,,,"'FY1' ETX"
,,,"'TF1,1' ETX"
"66","host","3.3.1","ESC ENQ"
"68","3.3.2","host","'1' ETX"
"69","host","3.3.1","ESC ENQ"
"72","3.3.2","host","'1' ETX"
"73","host","3.3.1","ESC ENQ"
"76","3.3.2","host","'1' ETX"
"78","host","3.3.1","ESC ENQ"
"80","3.3.2","host","'1' ETX"
"82","host","3.3.1","ESC ENQ"
"84","3.3.2","host","'1' ETX"
"86","host","3.3.1","ESC ENQ"
"88","3.3.2","host","'1' ETX"
"90","host","3.3.1","ESC ENQ"
"92","3.3.2","host","'1' ETX"
"94","host","3.3.1","ESC ENQ"
"96","3.3.2","host","'1' ETX"
"98","host","3.3.1","ESC ENQ"
"100","3.3.2","host","'1' ETX"
"102","host","3.3.1","ESC ENQ"
"104","3.3.2","host","'1' ETX"
"106","host","3.3.1","ESC ENQ"
"108","3.3.2","host","'1' ETX"
"110","host","3.3.1","ESC ENQ"
"112","3.3.2","host","'1' ETX"
"114","host","3.3.1","ESC ENQ"
"116","3.3.2","host","'1' ETX"
"118","host","3.3.1","ESC ENQ"
"120","3.3.2","host","'1' ETX"
"122","host","3.3.1","ESC ENQ"
"124","3.3.2","host","'1' ETX"
"126","host","3.3.1","ESC ENQ"
"128","3.3.2","host","'1' ETX"
"130","host","3.3.1","ESC ENQ"
"132","3.3.2","host","'1' ETX"
"134","host","3.3.1","ESC ENQ"
"136","3.3.2","host","'1' ETX"
"138","host","3.3.1","ESC ENQ"
"140","3.3.2","host","'1' ETX"
"142","host","3.3.1","ESC ENQ"
"144","3.3.2","host","'1' ETX"
"146","host","3.3.1","ESC ENQ"
"148","3.3.2","host","'0' ETX"
"149","host","3.3.1","'M254,274' ETX"
"152","host","3.3.1","BE1 ... ETX"
"154","host","3.3.1","BE2 ... ETX"
"156","host","3.3.1","BE1 ... ETX"
"158","host","3.3.1","ESC ENQ"
"160","3.3.2","host","'1' ETX"
"161","host","3.3.1","ESC ENQ"
"164","3.3.2","host","'1' ETX"
"165","host","3.3.1","ESC ENQ"
"168","3.3.2","host","'1' ETX"
"170","host","3.3.1","ESC ENQ"
"172","3.3.2","host","'1' ETX"
"174","host","3.3.1","ESC ENQ"
"176","3.3.2","host","'1' ETX"
"178","host","3.3.1","ESC ENQ"
"180","3.3.2","host","'1' ETX"
"182","host","3.3.1","ESC ENQ"
"184","3.3.2","host","'1' ETX"
"186","host","3.3.1","ESC ENQ"
"188","3.3.2","host","'0' ETX"
"190","host","3.3.1","ESC ENQ"
"192","3.3.2","host","'0' ETX"
"193","host","3.3.1","ESC ENQ"
"196","3.3.2","host","'0' ETX"
"197","host","3.3.1","'L0' ETX"
,,,"'J1' ETX"
"200","host","3.3.1","'FX25,1' ETX"
,,,"'!5,1' ETX"
,,,"'FC18,1,1' ETX"
,,,"'FE0,1' ETX"
,,,"'FF1,1,1' ETX"
,,,"'FC18,1,1' ETX"
"202","host","3.3.1","'FY1' ETX"
,,,"'TF2,1' ETX"
"204","host","3.3.1","ESC ENQ"
"206","3.3.2","host","'1' ETX"
"207","host","3.3.1","ESC ENQ"
"210","3.3.2","host","'1' ETX"
"211","host","3.3.1","ESC ENQ"
"214","3.3.2","host","'1' ETX"
"216","host","3.3.1","ESC ENQ"
"218","3.3.2","host","'1' ETX"
"220","host","3.3.1","ESC ENQ"
"222","3.3.2","host","'1' ETX"
"224","host","3.3.1","ESC ENQ"
"226","3.3.2","host","'1' ETX"
"228","host","3.3.1","ESC ENQ"
"230","3.3.2","host","'1' ETX"
"232","host","3.3.1","ESC ENQ"
"234","3.3.2","host","'1' ETX"
"236","host","3.3.1","ESC ENQ"
"238","3.3.2","host","'1' ETX"
"240","host","3.3.1","ESC ENQ"
"242","3.3.2","host","'1' ETX"
"244","host","3.3.1","ESC ENQ"
"246","3.3.2","host","'1' ETX"
"248","host","3.3.1","ESC ENQ"
"250","3.3.2","host","'1' ETX"
"252","host","3.3.1","ESC ENQ"
"254","3.3.2","host","'1' ETX"
"256","host","3.3.1","ESC ENQ"
"258","3.3.2","host","'1' ETX"
"260","host","3.3.1","ESC ENQ"
"262","3.3.2","host","'1' ETX"
"264","host","3.3.1","ESC ENQ"
"266","3.3.2","host","'1' ETX"
"268","host","3.3.1","ESC ENQ"
"270","3.3.2","host","'1' ETX"
"272","host","3.3.1","ESC ENQ"
"274","3.3.2","host","'1' ETX"
"276","host","3.3.1","ESC ENQ"
"278","3.3.2","host","'1' ETX"
"280","host","3.3.1","ESC ENQ"
"282","3.3.2","host","'1' ETX"
"284","host","3.3.1","ESC ENQ"
"286","3.3.2","host","'0' ETX"
"287","host","3.3.1","'M254,909' ETX"
"290","host","3.3.1","BE1 ... ETX"
"292","host","3.3.1","BE2 ... ETX"
"294","host","3.3.1","BE1 ... ETX"
"296","host","3.3.1","ESC ENQ"
"298","3.3.2","host","'1' ETX"
"299","host","3.3.1","ESC ENQ"
"302","3.3.2","host","'1' ETX"
"303","host","3.3.1","ESC ENQ"
"306","3.3.2","host","'1' ETX"
"308","host","3.3.1","ESC ENQ"
"310","3.3.2","host","'1' ETX"
"312","host","3.3.1","ESC ENQ"
"314","3.3.2","host","'1' ETX"
"316","host","3.3.1","ESC ENQ"
"318","3.3.2","host","'1' ETX"
"320","host","3.3.1","ESC ENQ"
"322","3.3.2","host","'1' ETX"
"324","host","3.3.1","ESC ENQ"
"326","3.3.2","host","'1' ETX"
"328","host","3.3.1","ESC ENQ"
"330","3.3.2","host","'0' ETX"
"331","host","3.3.1","ESC ENQ"
"334","3.3.2","host","'0' ETX"
"335","host","3.3.1","ESC ENQ"
"338","3.3.2","host","'0' ETX"
"339","host","3.3.1","'L0' ETX"
,,,"'J1' ETX"
"342","host","3.3.1","'FX20,1' ETX"
,,,"'!5,1' ETX"
,,,"'FC18,1,1' ETX"
,,,"'FE0,1' ETX"
,,,"'FF1,1,1' ETX"
,,,"'FC18,1,1' ETX"
"344","host","3.3.1","'FY1' ETX"
,,,"'TF3,1' ETX"
"346","host","3.3.1","ESC ENQ"
"348","3.3.2","host","'1' ETX"
"349","host","3.3.1","ESC ENQ"
"352","3.3.2","host","'1' ETX"
"353","host","3.3.1","ESC ENQ"
"356","3.3.2","host","'1' ETX"
"358","host","3.3.1","ESC ENQ"
"360","3.3.2","host","'1' ETX"
"362","host","3.3.1","ESC ENQ"
"364","3.3.2","host","'1' ETX"
"366","host","3.3.1","ESC ENQ"
"368","3.3.2","host","'1' ETX"
"370","host","3.3.1","ESC ENQ"
"372","3.3.2","host","'1' ETX"
"374","host","3.3.1","ESC ENQ"
"376","3.3.2","host","'1' ETX"
"378","host","3.3.1","ESC ENQ"
"380","3.3.2","host","'1' ETX"
"382","host","3.3.1","ESC ENQ"
"384","3.3.2","host","'1' ETX"
"386","host","3.3.1","ESC ENQ"
"388","3.3.2","host","'1' ETX"
"390","host","3.3.1","ESC ENQ"
"392","3.3.2","host","'1' ETX"
