"1","3.3.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"2","host","3.3.1","ESC ENQ"
"3","3.3.2","host","'0' ETX"
"4","host","3.3.1","ESC ENQ"
"5","3.3.2","host","'0' ETX"
"6","host","3.3.1","ESC ENQ"
"7","3.3.2","host","'0' ETX"
"8","host","3.3.1","ESC ENQ"
"9","3.3.2","host","'0' ETX"
"10","host","3.3.1","ESC ENQ"
"11","3.3.2","host","'0' ETX"
"12","host","3.3.1","ESC ENQ"
"13","3.3.2","host","'0' ETX"
"14","host","3.3.1","ESC ENQ"
"15","3.3.2","host","'0' ETX"
"16","host","3.3.1","ESC ENQ"
"17","3.3.2","host","'0' ETX"
"18","host","3.3.1","ESC ENQ"
"19","3.3.2","host","'0' ETX"
"20","host","3.3.1","ESC ENQ"
"21","3.3.2","host","'0' ETX"
"22","host","3.3.1","ESC ENQ"
"23","3.3.2","host","'0' ETX"
"24","host","3.3.1","ESC ENQ"
"25","3.3.2","host","'0' ETX"
"26","host","3.3.1","ESC ENQ"
"27","3.3.2","host","'0' ETX"
"28","host","3.3.1","'TG1' ETX"
,,,"'FN0' ETX"
,,,"'TB50,0' ETX"
,,,"'\30,30' ETX"
,,,"'Z5558,4288' ETX"
,,,"'J1' ETX"
"29","host","3.3.1","ESC ENQ"
"30","3.3.2","host","'1' ETX"
"31","host","3.3.1","'FX33,1' ETX"
,,,"'!5,1' ETX"
,,,"'FC0,1,1' ETX"
,,,"'FE0,1' ETX"
"32","host","3.3.1","'FF1,0,1' ETX"
,,,"'FF1,1,1' ETX"
,,,"'FC18,1,1' ETX"
,,,"'FY1' ETX"
,,,"'TF1,1' ETX"
"33","host","3.3.1","ESC ENQ"
"34","3.3.2","host","'1' ETX"
"35","host","3.3.1","ESC ENQ"
"36","3.3.2","host","'1' ETX"
"37","host","3.3.1","ESC ENQ"
"38","3.3.2","host","'1' ETX"
"39","host","3.3.1","ESC ENQ"
"40","3.3.2","host","'1' ETX"
"41","host","3.3.1","ESC ENQ"
"42","3.3.2","host","'1' ETX"
"43","host","3.3.1","ESC ENQ"
"44","3.3.2","host","'1' ETX"
"45","host","3.3.1","ESC ENQ"
"46","3.3.2","host","'1' ETX"
"47","host","3.3.1","ESC ENQ"
"48","3.3.2","host","'1' ETX"
"49","host","3.3.1","ESC ENQ"
"50","3.3.2","host","'1' ETX"
"51","host","3.3.1","ESC ENQ"
"52","3.3.2","host","'1' ETX"
"53","host","3.3.1","ESC ENQ"
"54","3.3.2","host","'1' ETX"
"55","host","3.3.1","ESC ENQ"
"56","3.3.2","host","'1' ETX"
"57","host","3.3.1","ESC ENQ"
"58","3.3.2","host","'1' ETX"
"59","host","3.3.1","ESC ENQ"
"60","3.3.2","host","'1' ETX"
"61","host","3.3.1","ESC ENQ"
"62","3.3.2","host","'1' ETX"
"63","host","3.3.1","ESC ENQ"
"64","3.3.2","host","'1' ETX"
"65","host","3.3.1","ESC ENQ"
"66","3.3.2","host","'1' ETX"
"67","host","3.3.1","ESC ENQ"
"68","3.3.2","host","'1' ETX"
"69","host","3.3.1","ESC ENQ"
"70","3.3.2","host","'1' ETX"
"71","host","3.3.1","ESC ENQ"
"72","3.3.2","host","'1' ETX"
"73","host","3.3.1","ESC ENQ"
"74","3.3.2","host","'0' ETX"
"75","host","3.3.1","'M254,274' ETX"
"76","host","3.3.1","BE1 ... ETX"
"77","host","3.3.1","BE2 ... ETX"
"78","host","3.3.1","BE1 ... ETX"
"79","host","3.3.1","ESC ENQ"
"80","3.3.2","host","'1' ETX"
"81","host","3.3.1","ESC ENQ"
"82","3.3.2","host","'1' ETX"
"83","host","3.3.1","ESC ENQ"
"84","3.3.2","host","'1' ETX"
"85","host","3.3.1","ESC ENQ"
"86","3.3.2","host","'1' ETX"
"87","host","3.3.1","ESC ENQ"
"88","3.3.2","host","'1' ETX"
"89","host","3.3.1","ESC ENQ"
"90","3.3.2","host","'1' ETX"
"91","host","3.3.1","ESC ENQ"
"92","3.3.2","host","'1' ETX"
"93","host","3.3.1","ESC ENQ"
"94","3.3.2","host","'0' ETX"
"95","host","3.3.1","ESC ENQ"
"96","3.3.2","host","'0' ETX"
"97","host","3.3.1","ESC ENQ"
"98","3.3.2","host","'0' ETX"
"99","host","3.3.1","'L0' ETX"
,,,"'J1' ETX"
"100","host","3.3.1","'FX25,1' ETX"
,,,"'!5,1' ETX"
,,,"'FC18,1,1' ETX"
,,,"'FE0,1' ETX"
,,,"'FF1,1,1' ETX"
,,,"'FC18,1,1' ETX"
"101","host","3.3.1","'FY1' ETX"
,,,"'TF2,1' ETX"
"102","host","3.3.1","ESC ENQ"
"103","3.3.2","host","'1' ETX"
"104","host","3.3.1","ESC ENQ"
"105","3.3.2","host","'1' ETX"
"106","host","3.3.1","ESC ENQ"
"107","3.3.2","host","'1' ETX"
"108","host","3.3.1","ESC ENQ"
"109","3.3.2","host","'1' ETX"
"110","host","3.3.1","ESC ENQ"
"111","3.3.2","host","'1' ETX"
"112","host","3.3.1","ESC ENQ"
"113","3.3.2","host","'1' ETX"
"114","host","3.3.1","ESC ENQ"
"115","3.3.2","host","'1' ETX"
"116","host","3.3.1","ESC ENQ"
"117","3.3.2","host","'1' ETX"
"118","host","3.3.1","ESC ENQ"
"119","3.3.2","host","'1' ETX"
"120","host","3.3.1","ESC ENQ"
"121","3.3.2","host","'1' ETX"
"122","host","3.3.1","ESC ENQ"
"123","3.3.2","host","'1' ETX"
"124","host","3.3.1","ESC ENQ"
"125","3.3.2","host","'1' ETX"
"126","host","3.3.1","ESC ENQ"
"127","3.3.2","host","'1' ETX"
"128","host","3.3.1","ESC ENQ"
"129","3.3.2","host","'1' ETX"
"130","host","3.3.1","ESC ENQ"
"131","3.3.2","host","'1' ETX"
"132","host","3.3.1","ESC ENQ"
"133","3.3.2","host","'1' ETX"
"134","host","3.3.1","ESC ENQ"
"135","3.3.2","host","'1' ETX"
"136","host","3.3.1","ESC ENQ"
"137","3.3.2","host","'1' ETX"
"138","host","3.3.1","ESC ENQ"
"139","3.3.2","host","'1' ETX"
"140","host","3.3.1","ESC ENQ"
"141","3.3.2","host","'1' ETX"
"142","host","3.3.1","ESC ENQ"
"143","3.3.2","host","'0' ETX"
"144","host","3.3.1","'M254,909' ETX"
"145","host","3.3.1","BE1 ... ETX"
"146","host","3.3.1","BE2 ... ETX"
"147","host","3.3.1","BE1 ... ETX"
"148","host","3.3.1","ESC ENQ"
"149","3.3.2","host","'1' ETX"
"150","host","3.3.1","ESC ENQ"
"151","3.3.2","host","'1' ETX"
"152","host","3.3.1","ESC ENQ"
"153","3.3.2","host","'1' ETX"
"154","host","3.3.1","ESC ENQ"
"155","3.3.2","host","'1' ETX"
"156","host","3.3.1","ESC ENQ"
"157","3.3.2","host","'1' ETX"
"158","host","3.3.1","ESC ENQ"
"159","3.3.2","host","'1' ETX"
"160","host","3.3.1","ESC ENQ"
"161","3.3.2","host","'1' ETX"
"162","host","3.3.1","ESC ENQ"
"163","3.3.2","host","'1' ETX"
"164","host","3.3.1","ESC ENQ"
"165","3.3.2","host","'0' ETX"
"166","host","3.3.1","ESC ENQ"
"167","3.3.2","host","'0' ETX"
"168","host","3.3.1","ESC ENQ"
"169","3.3.2","host","'0' ETX"
"170","host","3.3.1","'L0' ETX"
,,,"'J1' ETX"
"171","host","3.3.1","'FX20,1' ETX"
,,,"'!5,1' ETX"
,,,"'FC18,1,1' ETX"
,,,"'FE0,1' ETX"
,,,"'FF1,1,1' ETX"
,,,"'FC18,1,1' ETX"
"172","host","3.3.1","'FY1' ETX"
,,,"'TF3,1' ETX"
"173","host","3.3.1","ESC ENQ"
"174","3.3.2","host","'1' ETX"
"175","host","3.3.1","ESC ENQ"
"176","3.3.2","host","'1' ETX"
"177","host","3.3.1","ESC ENQ"
"178","3.3.2","host","'1' ETX"
"179","host","3.3.1","ESC ENQ"
"180","3.3.2","host","'1' ETX"
"181","host","3.3.1","ESC ENQ"
"182","3.3.2","host","'1' ETX"
"183","host","3.3.1","ESC ENQ"
"184","3.3.2","host","'1' ETX"
"185","host","3.3.1","ESC ENQ"
"186","3.3.2","host","'1' ETX"
"187","host","3.3.1","ESC ENQ"
"188","3.3.2","host","'1' ETX"
"189","host","3.3.1","ESC ENQ"
"190","3.3.2","host","'1' ETX"
"191","host","3.3.1","ESC ENQ"
"192","3.3.2","host","'1' ETX"
"193","host","3.3.1","ESC ENQ"
"194","3.3.2","host","'1' ETX"
"195","host","3.3.1","ESC ENQ"
"196","3.3.2","host","'1' ETX"
"197","host","3.3.1","ESC ENQ"
"198","3.3.2","host","'1' ETX"
"199","host","3.3.1","ESC ENQ"
"200","3.3.2","host","'1' ETX"
"201","host","3.3.1","ESC ENQ"
"202","3.3.2","host","'1' ETX"
"203","host","3.3.1","ESC ENQ"
"204","3.3.2","host","'1' ETX"
"205","host","3.3.1","ESC ENQ"
"206","3.3.2","host","'1' ETX"
"207","host","3.3.1","ESC ENQ"
"208","3.3.2","host","'1' ETX"
"209","host","3.3.1","ESC ENQ"
"210","3.3.2","host","'1' ETX"
"211","host","3.3.1","ESC ENQ"
"212","3.3.2","host","'1' ETX"
"213","host","3.3.1","ESC ENQ"
"214","3.3.2","host","'1' ETX"
"215","host","3.3.1","ESC ENQ"
"216","3.3.2","host","'0' ETX"
"217","host","3.3.1","'M254,1544' ETX"
"218","host","3.3.1","BE1 ... ETX"
"219","host","3.3.1","BE2 ... ETX"
"220","host","3.3.1","BE1 ... ETX"
"221","host","3.3.1","ESC ENQ"
"222","3.3.2","host","'1' ETX"
"223","host","3.3.1","ESC ENQ"
"224","3.3.2","host","'1' ETX"
"225","host","3.3.1","ESC ENQ"
"226","3.3.2","host","'1' ETX"
"227","host","3.3.1","ESC ENQ"
"228","3.3.2","host","'1' ETX"
"229","host","3.3.1","ESC ENQ"
"230","3.3.2","host","'1' ETX"
"231","host","3.3.1","ESC ENQ"
"232","3.3.2","host","'1' ETX"
"233","host","3.3.1","ESC ENQ"
"234","3.3.2","host","'1' ETX"
"235","host","3.3.1","ESC ENQ"
"236","3.3.2","host","'1' ETX"
"237","host","3.3.1","ESC ENQ"
"238","3.3.2","host","'1' ETX"
"239","host","3.3.1","ESC ENQ"
"240","3.3.2","host","'0' ETX"
