"1","3.3.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"2","3.3.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"3","3.3.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"4","3.3.0","host","HT STX ' ' NUL SOH SOH NUL 0xc0 '2' HT EOT NUL NUL STX BEL SOH STX NUL BEL ENQ SOH STX @ NUL NUL BEL ENQ ‚ STX @ NUL NUL"
"5","3.3.0","host","DLE ETX"
,,,"'3' NUL '9' NUL '3' NUL '9' NUL '0' NUL NUL NUL NUL NUL"
"7","3.3.0","host","HT STX ' ' NUL SOH SOH NUL 0xc0 '2' HT EOT NUL NUL STX BEL SOH STX NUL BEL ENQ SOH STX @ NUL NUL BEL ENQ ‚ STX @ NUL NUL"
"8","3.3.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"9","3.3.0","host","NUL 'UMANUFACTURER' : 'Silhouette' ; 'MODEL' : 'CAMEO 3' ; 'CLASS' : 'PRINTER' ; 'DESCRIPTION' : 'Silhouette CAMEO 3' ;"
"10","host","3.3.1","ESC ENQ"
"11","3.3.2","host","'0' ETX"
"12","host","3.3.1","'FG' ETX"
"13","3.3.2","host","'CAMEO 3 V1.50    ' ETX"
"14","host","3.3.1","ESC ENQ"
"15","3.3.2","host","'0' ETX"
"16","host","3.3.1","'FG' ETX"
"17","3.3.2","host","'CAMEO 3 V1.50    ' ETX"
"18","host","3.3.1","ESC ENQ"
"19","3.3.2","host","'0' ETX"
"20","host","3.3.1","ESC ENQ"
"21","3.3.2","host","'0' ETX"
"22","host","3.3.1","'[' ETX"
"23","3.3.2","host","'     0,     0' ETX"
"24","host","3.3.1","'U' ETX"
"25","3.3.2","host","'  5588,  6080' ETX"
"26","host","3.3.1","'FQ0' ETX"
"27","3.3.2","host","'   10' ETX"
"28","host","3.3.1","'FQ2' ETX"
"29","3.3.2","host","'   17' ETX"
"30","host","3.3.1","'TB71' ETX"
"31","3.3.2","host","'    0,    0' ETX"
"32","host","3.3.1","'FA' ETX"
"33","3.3.2","host","'    0,    0' ETX"
"34","host","3.3.1","ESC ENQ"
"35","3.3.2","host","'0' ETX"
"36","host","3.3.1","ESC ENQ"
"37","3.3.2","host","'0' ETX"
"38","host","3.3.1","'TG1' ETX"
,,,"'FN0' ETX"
,,,"'TB50,0' ETX"
,,,"'\30,30' ETX"
,,,"'Z5558,4288' ETX"
,,,"'J1' ETX"
"39","host","3.3.1","ESC ENQ"
"40","3.3.2","host","'0' ETX"
"41","host","3.3.1","'!10,1' ETX"
,,,"'FX18,1' ETX"
,,,"'FC0,1,1' ETX"
"42","host","3.3.1","'FE0,1' ETX"
,,,"'FF0,0,1' ETX"
"43","host","3.3.1","ESC ENQ"
"44","3.3.2","host","'0' ETX"
"45","host","3.3.1","ESC ENQ"
"46","3.3.2","host","'0' ETX"
"47","host","3.3.1","'M254,254' ETX"
"48","host","3.3.1","BE2 ... ETX"
"49","host","3.3.1","BE1 ... ETX"
"50","host","3.3.1","BE2 ... ETX"
"51","host","3.3.1","BE1 ... ETX"
"52","host","3.3.1","BE2 ... ETX"
"53","host","3.3.1","BE1 ... ETX"
"54","host","3.3.1","BE1 ... ETX"
"55","host","3.3.1","BE2 ... ETX"
"56","host","3.3.1","BE1 ... ETX"
"57","host","3.3.1","ESC ENQ"
"58","3.3.2","host","'1' ETX"
"59","host","3.3.1","ESC ENQ"
"60","3.3.2","host","'1' ETX"
"61","host","3.3.1","ESC ENQ"
"62","3.3.2","host","'1' ETX"
"63","host","3.3.1","ESC ENQ"
"64","3.3.2","host","'1' ETX"
"65","host","3.3.1","ESC ENQ"
"66","3.3.2","host","'1' ETX"
"67","host","3.3.1","ESC ENQ"
"68","3.3.2","host","'1' ETX"
"69","host","3.3.1","ESC ENQ"
"70","3.3.2","host","'1' ETX"
"71","host","3.3.1","ESC ENQ"
"72","3.3.2","host","'0' ETX"
"73","host","3.3.1","ESC ENQ"
"74","3.3.2","host","'0' ETX"
"75","host","3.3.1","ESC ENQ"
"76","3.3.2","host","'0' ETX"
"77","host","3.3.1","'L0' ETX"
,,,"'J2' ETX"
"78","host","3.3.1","'!10,2' ETX"
,,,"'FX18,2' ETX"
,,,"'FC0,1,2' ETX"
,,,"'FE0,2' ETX"
,,,"'FF0,0,2' ETX"
"79","host","3.3.1","ESC ENQ"
"80","3.3.2","host","'1' ETX"
"81","host","3.3.1","ESC ENQ"
"82","3.3.2","host","'0' ETX"
"83","host","3.3.1","ESC ENQ"
"84","3.3.2","host","'0' ETX"
"85","host","3.3.1","'M254,1270' ETX"
