"2","3.1.0","host","SOH SOH SOH NUL"
"6","3.1.0","host","NUL SOH NUL NUL"
"9","3.1.0","host","SOH SOH NUL NUL"
"13","3.1.0","host","ETX"
,,,"SOH DLE NUL"
"17","3.0.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"21","3.1.0","host","ETX"
,,,"SOH DLE NUL"
"25","3.4.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"33","3.4.0","host","HT STX ' ' NUL SOH SOH NUL 0xc0"
"35","3.4.0","host","HT STX ' ' NUL SOH SOH NUL 0xc0 '2' HT EOT NUL NUL STX BEL SOH STX NUL BEL ENQ SOH STX @ NUL NUL BEL ENQ ‚ STX @ NUL NUL"
"37","3.4.0","host","EOT ETX"
,,,"HT EOT"
"39","3.4.0","host","DLE ETX"
,,,"'3' NUL '9' NUL '3' NUL '9' NUL '0' NUL NUL NUL NUL NUL"
"45","3.4.0","host","NUL 'UMANUFACTURER' : 'Silhouette' ; 'MODEL' : 'CAMEO 3' ; 'CLASS' : 'PRINTER' ; 'DESCRIPTION' : 'Silhouette CAMEO 3' ;"
"47","3.4.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"49","3.4.0","host","HT STX ' ' NUL SOH SOH NUL 0xc0"
"51","3.4.0","host","HT STX ' ' NUL SOH SOH NUL 0xc0 '2' HT EOT NUL NUL STX BEL SOH STX NUL BEL ENQ SOH STX @ NUL NUL BEL ENQ ‚ STX @ NUL NUL"
"53","3.4.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"55","3.4.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"57","3.4.0","host","HT STX ' ' NUL SOH SOH NUL 0xc0 '2' HT EOT NUL NUL STX BEL SOH STX NUL BEL ENQ SOH STX @ NUL NUL BEL ENQ ‚ STX @ NUL NUL"
"59","3.4.0","host","DLE ETX"
,,,"'3' NUL '9' NUL '3' NUL '9' NUL '0' NUL NUL NUL NUL NUL"
"63","3.4.0","host","HT STX ' ' NUL SOH SOH NUL 0xc0 '2' HT EOT NUL NUL STX BEL SOH STX NUL BEL ENQ SOH STX @ NUL NUL BEL ENQ ‚ STX @ NUL NUL"
"65","3.4.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"67","3.4.0","host","NUL 'UMANUFACTURER' : 'Silhouette' ; 'MODEL' : 'CAMEO 3' ; 'CLASS' : 'PRINTER' ; 'DESCRIPTION' : 'Silhouette CAMEO 3' ;"
"69","host","3.4.1","ESC ENQ"
"71","3.4.2","host","'0' ETX"
"72","host","3.4.1","ESC ENQ"
"75","3.4.2","host","'0' ETX"
"76","host","3.4.1","'FG' ETX"
"79","3.4.2","host","'CAMEO 3 V1.50    ' ETX"
"80","host","3.4.1","'FG' ETX"
"83","3.4.2","host","'CAMEO 3 V1.50    ' ETX"
"84","host","3.4.1","ESC ENQ"
"87","3.4.2","host","'0' ETX"
"88","host","3.4.1","ESC ENQ"
"91","3.4.2","host","'0' ETX"
"92","host","3.4.1","'[' ETX"
"95","3.4.2","host","'     0,     0' ETX"
"96","host","3.4.1","'U' ETX"
"99","3.4.2","host","' 12200,  6100' ETX"
"100","host","3.4.1","'FQ0' ETX"
"103","3.4.2","host","'   10' ETX"
"104","host","3.4.1","'FQ2' ETX"
"107","3.4.2","host","'    0' ETX"
"108","host","3.4.1","'TB71' ETX"
"111","3.4.2","host","'    0,    0' ETX"
"112","host","3.4.1","'FA' ETX"
"115","3.4.2","host","'    0,    0' ETX"
"116","host","3.4.1","ESC ENQ"
"119","3.4.2","host","'0' ETX"
"121","host","3.4.1","ESC ENQ"
"123","3.4.2","host","'0' ETX"
"125","host","3.4.1","ESC ENQ"
"127","3.4.2","host","'0' ETX"
"129","host","3.4.1","ESC ENQ"
"131","3.4.2","host","'0' ETX"
"133","host","3.4.1","ESC ENQ"
"135","3.4.2","host","'0' ETX"
