FRAME,REQ,RESP,SRC,DEST,TYPE,REQUEST,PORT,'DATA'
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
,,,,,,,,"CONTROL response data: 12010002000000404d0b2f11000100000101"
1,,,3.2.0,host,URB_COMPLETE ('C'),,,""
,,,,,,,,"0040  12 01 00 02 00 00 00 40 4d 0b 2f 11 00 01 00 00   .......@M./....."
,,,,,,,,"0050  01 01                                             .."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
2,,,host,3.2.1,URB_SUBMIT ('S'),,,"1b05"
,,,,,,,,"0040  1b 05                                             .."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
3,,,3.2.2,host,URB_COMPLETE ('C'),,,"3003"
,,,,,,,,"0040  30 03                                             0."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
4,,,host,3.2.1,URB_SUBMIT ('S'),,,"464703"
,,,,,,,,"0040  46 47 03                                          FG."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
5,,,3.2.2,host,URB_COMPLETE ('C'),,,"43414d454f20332056312e35302020202003"
,,,,,,,,"0040  43 41 4d 45 4f 20 33 20 56 31 2e 35 30 20 20 20   CAMEO 3 V1.50   "
,,,,,,,,"0050  20 03                                              ."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
6,,,host,3.2.1,URB_SUBMIT ('S'),,,"1b05"
,,,,,,,,"0040  1b 05                                             .."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
7,,,3.2.2,host,URB_COMPLETE ('C'),,,"3003"
,,,,,,,,"0040  30 03                                             0."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
8,,,host,3.2.1,URB_SUBMIT ('S'),,,"464703"
,,,,,,,,"0040  46 47 03                                          FG."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
9,,,3.2.2,host,URB_COMPLETE ('C'),,,"43414d454f20332056312e35302020202003"
,,,,,,,,"0040  43 41 4d 45 4f 20 33 20 56 31 2e 35 30 20 20 20   CAMEO 3 V1.50   "
,,,,,,,,"0050  20 03                                              ."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
10,,,host,3.2.1,URB_SUBMIT ('S'),,,"1b05"
,,,,,,,,"0040  1b 05                                             .."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
11,,,3.2.2,host,URB_COMPLETE ('C'),,,"3003"
,,,,,,,,"0040  30 03                                             0."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
12,,,host,3.2.1,URB_SUBMIT ('S'),,,"1b05"
