FRAME,REQ,RESP,SRC,DEST,TYPE,REQUEST,PORT,'DATA'
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
,,,,,,,,"CONTROL response data: 12010002000000404d0b2f11000100000101"
1,,,3.3.0,host,URB_COMPLETE ('C'),,,""
,,,,,,,,"0040  12 01 00 02 00 00 00 40 4d 0b 2f 11 00 01 00 00   .......@M./....."
,,,,,,,,"0050  01 01                                             .."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
2,,,host,3.3.1,URB_SUBMIT ('S'),,,"1b05"
,,,,,,,,"0040  1b 05                                             .."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
3,,,3.3.2,host,URB_COMPLETE ('C'),,,"3003"
,,,,,,,,"0040  30 03                                             0."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
4,,,host,3.3.1,URB_SUBMIT ('S'),,,"1b05"
,,,,,,,,"0040  1b 05                                             .."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
5,,,3.3.2,host,URB_COMPLETE ('C'),,,"3003"
,,,,,,,,"0040  30 03                                             0."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
6,,,host,3.3.1,URB_SUBMIT ('S'),,,"1b05"
,,,,,,,,"0040  1b 05                                             .."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
7,,,3.3.2,host,URB_COMPLETE ('C'),,,"3003"
,,,,,,,,"0040  30 03                                             0."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
8,,,host,3.3.1,URB_SUBMIT ('S'),,,"1b05"
,,,,,,,,"0040  1b 05                                             .."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
9,,,3.3.2,host,URB_COMPLETE ('C'),,,"3003"
,,,,,,,,"0040  30 03                                             0."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
10,,,host,3.3.1,URB_SUBMIT ('S'),,,"1b05"
,,,,,,,,"0040  1b 05                                             .."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
11,,,3.3.2,host,URB_COMPLETE ('C'),,,"3003"
,,,,,,,,"0040  30 03                                             0."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
12,,,host,3.3.1,URB_SUBMIT ('S'),,,"1b05"
,,,,,,,,"0040  1b 05                                             .."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
13,,,3.3.2,host,URB_COMPLETE ('C'),,,"3003"
,,,,,,,,"0040  30 03                                             0."
,,,,,,,,"    Interface id: 0 (unknown)"
