FRAME,REQ,RESP,SRC,DEST,TYPE,REQUEST,PORT,'DATA'
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
1,,2,host,3.1.0,URB_SUBMIT ('S'),GET_STATUS (0x00),1,""
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
,,,,,,,,"Port Status: 0x0101, PORT_CONNECTION, PORT_POWER"
,,,,,,,,"Port Change: 0x0001, C_PORT_CONNECTION"
2,1,,3.1.0,host,URB_COMPLETE ('C'),,,""
,,,,,,,,"0040  01 01 01 00                                       ...."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
3,,4,host,3.1.0,URB_SUBMIT ('S'),CLEAR_FEATURE (0x01),1,""
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
4,3,,3.1.0,host,URB_COMPLETE ('C'),,,""
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
5,,6,host,3.1.0,URB_SUBMIT ('S'),GET_STATUS (0x00),2,""
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
,,,,,,,,"Port Status: 0x0100, PORT_POWER"
,,,,,,,,"Port Change: 0x0000"
6,5,,3.1.0,host,URB_COMPLETE ('C'),,,""
,,,,,,,,"0040  00 01 00 00                                       ...."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
7,,,host,3.1.1,URB_SUBMIT ('S'),,,""
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
8,,9,host,3.1.0,URB_SUBMIT ('S'),GET_STATUS (0x00),1,""
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
,,,,,,,,"Port Status: 0x0101, PORT_CONNECTION, PORT_POWER"
,,,,,,,,"Port Change: 0x0000"
9,8,,3.1.0,host,URB_COMPLETE ('C'),,,""
,,,,,,,,"0040  01 01 00 00                                       ...."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
10,,11,host,3.1.0,URB_SUBMIT ('S'),SET_FEATURE (0x03),1,""
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
11,10,,3.1.0,host,URB_COMPLETE ('C'),,,""
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
12,,13,host,3.1.0,URB_SUBMIT ('S'),GET_STATUS (0x00),1,""
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
,,,,,,,,"Port Status: 0x0103, PORT_CONNECTION, PORT_ENABLE, PORT_POWER"
,,,,,,,,"Port Change: 0x0010, C_PORT_RESET"
13,12,,3.1.0,host,URB_COMPLETE ('C'),,,""
